T,SoC,R1,R2,R3
30,0.41,0.00161003060468449,0.00311531597501021,0.00425220674485333
30,0.36,0.00137377559615969,0.00249206726142119,0.00541448905398289
30,0.31,0.0017875327749579,0.00528412706148889,0.00684270954994666
30,0.26,0.00220069519285783,0.00531364940675337,0.007070237457389
30,0.209999999999999,0.00205731194753764,0.00203088609269508,0.0129717024155162
30,0.16,0.00169252468336024,0.00160429899916851,0.00885901229304912
30,0.15,0.00198690841432795,0.00322542507468204,0.0451635779883984
30,0.139999999999999,0.00171514130069748,0.00305130311892209,0.0464451564313122
30,0.13,0.00208105945647976,0.00329385537968529,0.0237950717110682
30,0.12,0.00213482632923479,0.00411384073033773,0.0400552362612421
30,0.109999999999999,0.00212954108274988,0.00500870615690449,0.0913331112848402
30,0.0999999999999999,0.00197758298242324,0.00678561357395975,0.0729265270091363
30,0.09,0.00193915384029989,0.00553501441950775,0.0385071039378191
30,0.0799999999999999,0.00189979841771147,0.00497496362741066,0.0265836696223927
30,0.0699999999999999,0.00190493135641714,0.00557723608782217,0.0194219916891357
30,0.06,0.00200849787950425,0.00692701614217911,0.0293711190935202
30,0.0499999999999999,0.00256388929814791,0.00904922901573196,0.0375132078543776
30,0.0399999999999999,0.00669871552189919,0.0196990774777752,0.102188298928971
30,0.03,0.00960184969707116,0.0566030152277724,0.638823279906385
30,0.0199999999999999,0.00960184969707116,0.0566030152277724,0.638823279906385
30,0.00999999999999998,0.00960184969707116,0.0566030152277724,0.638823279906385
30,0,0.00960184969707116,0.0566030152277724,0.638823279906385
40,1,0.000477214471984301,0.0017250537432307,0.00000000000005406129
40,0.99,0.000477214471984301,0.0017250537432307,0.00000000000005406129
40,0.98,0.000405183490911719,0.00203110263082238,0.00000000000002747674
40,0.97,0.00093936359337234,0.000968213203503142,0.00165150232154792
40,0.96,0.000663248243109009,0.00151163521247821,0.00203232829556805
40,0.95,0.000799372248924935,0.000912006609352263,0.00136230994341163
40,0.94,0.00117690282101898,0.0012983285584937,0.00159512456109016
40,0.93,0.00109834903516668,0.0014160389551883,0.00190328035626625
40,0.92,0.0012716894144723,0.00168137472290758,0.00208644858036531
40,0.91,0.00124384494068868,0.00140424215513148,0.00446422982808879
40,0.86,0.00155145632419525,0.00104128341634273,0.00167297856703109
40,0.809999999999999,0.0017813743831048,0.00190886524217313,0.00184691970329347
40,0.76,0.0010724728687543,0.000957494243039216,0.00104543014039441
40,0.71,0.00097254049307446,0.000767591290259733,0.00056380729477233
40,0.66,0.000944521125459599,0.000680912526923492,0.000782166951681066
40,0.61,0.00103361183635488,0.000832606024882215,0.000730382329120954
40,0.56,0.00112878465777827,0.000889585420319038,0.000789300934502577
40,0.51,0.00146201505445986,0.00129053004175709,0.0011415888047369
40,0.46,0.0013768963302752,0.00167406481108352,0.0027978955975596
40,0.41,0.0010750621941223,0.0011553931243874,0.00455581612234126
40,0.36,0.00141352504129053,0.00175283603722358,0.00242167495487488
40,0.31,0.0015896854305961,0.00329756538772025,0.00238934724584564
40,0.26,0.00156451195130034,0.00442934844610674,0.0044061580037606
40,0.209999999999999,0.00118169996547682,0.0012726494180076,0.00713007670525382
40,0.16,0.00081209660419724,0.000755922097276421,0.00870265470992886
40,0.15,0.00127137540824943,0.00172305715013225,0.0192366868016757
40,0.139999999999999,0.0011808155352258,0.00158807386546797,0.0260826311658015
40,0.13,0.00122475925827079,0.00153319388357837,0.0209842872251063
40,0.12,0.00144751733180038,0.00251905317224895,0.0601632698720239
40,0.109999999999999,0.0012016388631502,0.00268185939783965,0.0223229741611896
40,0.0999999999999999,0.00109034663402,0.00220897272311603,0.00960100469194137
40,0.09,0.00122154927681705,0.00295549615129104,0.0097664122104539
40,0.0799999999999999,0.00126603876033152,0.00297607125540908,0.00922419093558956
40,0.0699999999999999,0.00149628299891744,0.00336802727092027,0.0145881040340654
40,0.06,0.00175077556462449,0.00387076893452496,0.0238618976539416
40,0.0499999999999999,0.00391012944916021,0.0115507603137685,0.0634528339881829
40,0.0399999999999999,0.00888877440221298,0.0556980662785479,0.423618900151692
40,0.03,0.00888877440221298,0.0556980662785479,0.423618900151692
40,0.0199999999999999,0.00888877440221298,0.0556980662785479,0.423618900151692
40,0.00999999999999998,0.00888877440221298,0.0556980662785479,0.423618900151692
40,0,0.00888877440221298,0.0556980662785479,0.423618900151692
